mobile_contig_name	mobile_contig_length (bp)	mobile_contig_read_count (reads)	mobile_contig_read_depth (reads/kbp)	mobile_contig_read_depth_in_this_cluster (reads/kbp)	cluster_name	cluster_length (bp)	cluster_read_count (reads)	cluster_read_depth (reads/kbp)	intra_read_count (reads)	intra_linkage_density (reads/kbp^2)	inter_read_count (reads)	raw_inter_linkage_density (reads/kbp^2)	raw_inter_vs_intra_ratio	mobile_element_copies_per_cell	adjusted_inter_connective_linkage_density (reads/kbp^2)	adjusted_inter_vs_intra_ratio
k141_318670	12968	1097	84.592843923504	29.142032356422433	bin_18	3664545	423892	115.67384218231732	12622	0.0019058307714934595	72	0.0015204741173072377	0.7978012214147188	0.2519327775979873	0.006035237382781051	3.166722603629534
k141_318775	6523	876	134.2940364862793	49.95303783047586	bin_73	2342545	539365	230.2474445528261	30924	0.01133254247024396	138	0.00905638296960712	0.7991483811674752	0.2169537122441984	0.04174338791407013	3.6834971520006587
k141_320122	5808	283	48.725895316804404	10.572599927231146	bin_84	1966474	49529	25.18670473141267	2266	0.0011766250000377135	23	0.0020137846197909215	1.7114922934039096	0.41976908213979564	0.004797362896584821	4.0772233264048054
k141_322202	6508	3361	516.441303011678	273.470920213391	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	529	0.03361750527867533	2.3452207804932392	1.398348691069058	0.0240408601183545	1.6771358928367743
k141_322203	5383	3103	576.4443618799926	254.57891794218688	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	367	0.028183635856894033	1.9661437674665774	1.3017475364490414	0.0216506158588742	1.5103879303892538
k141_322541	5790	1708	294.9913644214162	84.48109497514737	bin_65	2483275	1420736	572.1218954807663	136611	0.04490892761932696	61	0.004242544974758509	0.09446996843747148	0.14766275446276375	0.02873131406896758	0.6397684289527056
k141_322541	5790	1708	294.9913644214162	18.004167781588784	bin_42	2941035	402403	136.82360121521845	41790	0.009735609717612021	13	0.0007634218673966577	0.07841541408707087	0.1315867118076281	0.005801663837551734	0.5959219818617363
k141_322541	5790	1708	294.9913644214162	13.849359831991372	bin_91	1675268	190603	113.77463187979475	9310	0.006689676567869019	10	0.0010309489089226455	0.15411042648524517	0.12172625481771285	0.008469404652813062	1.266040976254697
k141_323149	5622	2947	524.190679473497	442.85074645174745	bin_5	4839183	14272266	2949.3131381888224	3521047	0.30138098099179556	1372	0.05048891830541075	0.16752523048820125	0.1501538581026031	0.3362478922846636	1.1156904831158447
k141_324384	6855	2860	417.21371261852664	130.52133266353908	bin_21	3600536	1926286	534.9997889203163	124202	0.019212109340084	402	0.016318456212275744	0.8493838923885906	0.24396520403670502	0.0668884576253776	3.4815780215149004
k141_324659	11466	3136	273.5042735042735	219.81837606837607	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	823	0.02974655627981748	2.0751760535839656	1.12400520760411	0.026464785108268486	1.8462334867712384
k141_324660	5256	1610	306.3165905631659	230.37738008928912	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	270	0.021234446362603892	1.4813551588385452	1.1779969425941241	0.018025892593441277	1.2575203765608942
k141_324661	8960	2898	323.4375	256.3541666666667	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	642	0.029663678864538988	2.069394368270512	1.3108249795945917	0.02262977844205661	1.5786961649987232
k141_324662	6115	1845	301.71708912510223	246.659226146069	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	448	0.030294816327923177	2.1134237119772057	1.2612514915747626	0.024019647572505888	1.6756560654992327
k141_324663	11103	3837	345.58227506079436	270.23452971635254	bin_70	2424432	474139	195.5670441571469	41869	0.01433447356355294	850	0.03172210908526419	2.2129943555040157	1.3817999391513376	0.022957092547526824	1.6015302163518506
k141_325307	6289	1966	312.609317856575	163.81274298161134	bin_44	2894731	802159	277.1100319857009	87744	0.02111416912423368	480	0.02642384367186646	1.2514744727292455	0.5911469238690867	0.04469928304611831	2.117027801715149
k141_325321	11292	25622	2269.0400283386466	1855.7162247436406	bin_3	5259733	8488467	1613.8589164126772	1796516	0.13008284854350713	11377	0.1919669961163927	1.4757287241614176	1.1498627332732216	0.16694774998919715	1.283395557972889
k141_326243	5321	765	143.7699680511182	38.780057171683204	bin_73	2342545	539365	230.2474445528261	30924	0.01133254247024396	82	0.0065785874330225435	0.5805041057905627	0.16842774193216214	0.03905881155654399	3.4466062367823764
